date,sku,retailer,units_shipped,units_returned,current_fba_inventory,velocity_score
2025-09-20,NT-EARBUD-X1,Amazon,500,32.0,468.0,3.2
2025-09-20,NT-EARBUD-X1-BLK,Amazon,0,8.0,85.0,0.8
2025-09-20,NT-SPEAKER-Z2,Amazon,200,15.0,12.0,5.1
2025-09-20,NT-CHARGER-Q3,Amazon,300,22.0,278.0,2.1
2025-09-20,NT-WATCH-S5,Amazon,400,18.0,230.0,2.8
2025-09-20,NT-TABLET-P6,Amazon,100,3.0,0.0,
2025-09-21,NT-EARBUD-X1,Walmart,300,,,2.9
2025-09-21,NT-SPEAKER-Z2,Walmart,150,,,4.3
2025-09-21,NT-CHARGER-Q3,Walmart,0,,,1.8
2025-09-22,NT-WATCH-S5,Walmart,250,,,2.5
