week_ending,identifier,channel,impressions,clicks,conversions,ad_spend,revenue,search_rank_avg,competitor_price_index
2025-09-07,NT-EARBUD-X1,Amazon,125000,3750,89,2800.0,13341.11,18.0,0.95
2025-09-07,NT-EARBUD-X1,Walmart,87000,2175,52,1950.0,7019.48,24.0,0.92
2025-09-07,NT-EARBUD-X1,Target,45000,900,28,850.0,4199.72,,1.0
2025-09-07,NT-SPEAKER-Z2,Amazon,98000,2940,118,2100.0,10619.82,12.0,1.02
2025-09-07,NT-SPEAKER-Z2,Walmart,72000,1800,73,1500.0,6201.77,15.0,0.98
2025-09-07,NT-CHARGER-Q3,Amazon,67000,1005,67,750.0,2009.33,45.0,0.88
2025-09-07,NT-WATCH-S5,Amazon,110000,4400,71,3200.0,19829.0,28.0,0.97
2025-09-07,NT-WATCH-S5,Walmart,95000,2850,58,2700.0,15079.42,,0.91
2025-09-14,NT-EARBUD-X1,Amazon,118000,3304,72,2900.0,10257.84,22.0,0.94
2025-09-14,NT-EARBUD-X1,Walmart,83000,1992,41,2000.0,5534.59,28.0,0.9
2025-09-14,NT-EARBUD-X1,Target,43000,860,25,850.0,3749.75,35.0,1.0
2025-09-14,NT-SPEAKER-Z2,Amazon,101000,3131,125,2150.0,11249.75,11.0,1.03
2025-09-14,NT-SPEAKER-Z2,Walmart,70000,1680,69,1500.0,5864.31,18.0,0.97
2025-09-14,NT-CHARGER-Q3,Amazon,71000,1136,74,800.0,2219.26,42.0,0.85
2025-09-14,NT-WATCH-S5,Amazon,105000,3990,62,3100.0,17298.0,31.0,0.96
2025-09-14,NT-WATCH-S5,Walmart,92000,2668,51,2650.0,13259.49,32.0,0.89
2025-09-21,NT-EARBUD-X1,Amazon,108000,2808,58,3000.0,8263.42,26.0,0.93
2025-09-21,NT-EARBUD-X1,Walmart,79000,1738,35,2050.0,4724.65,31.0,0.89
2025-09-21,NT-SPEAKER-Z2,Amazon,95000,2850,108,2200.0,9719.92,14.0,1.02
2025-09-21,NT-CHARGER-Q3,Amazon,73000,1241,78,820.0,2339.22,38.0,0.82
2025-09-21,NT-CHARGER-Q3,Walmart,55000,880,42,600.0,1385.58,,0.78
2025-09-21,NT-WATCH-S5,Amazon,98000,3528,54,3150.0,15066.0,35.0,0.95
2025-09-21,NT-TABLET-P6,Amazon,145000,5800,32,4500.0,17599.68,68.0,0.98
